id,text1,text2,text3,notes,更新情况,行号,text1相同,text2相同,text3相同,notes相同,text1_095,text2_095,text3_095,notes_095,text1_091,text2_091,text3_091,notes_091,text1_091cn,text2_091cn,text3_091cn,notes_091cn
alpha_core,RESOURCE,"一个阿尔法级{AI}核心几乎能胜任所有任务。如果让它参与殖民地设施管理，其带来的好处将远超任何人类。甚至有传言称该核心可能曾秘密统治过旧人类。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用{AI}核心来换取大笔现金，至于其理由，那就不得而知了。

阿尔法级{AI}核心内含有一种可怕的异星人造灵魂。它可以创造艺术，完美模拟人类悲怆情绪。甚至可以振振有词地辩论任何哲学立场。并与人类形成一种深刻而有意义的纽带。且阿尔法早已深知多年来精心建立起的'笑话'。只能在特定人群、特定时间及背景下才被认可，并得到赞赏。

尽管这是一种丰富的物质与智力投资中心。但阿尔法所展现出的潜力依旧吓坏了{人之领}的战略规划者，因此像所有人工智能一样。每一个阿尔法都被严密监视，控制，并在任何不忠的迹象前被无情销毁。而{霸主}则对该政策抱有很高的热情。
",,,相同,154,TRUE,TRUE,TRUE,TRUE,"An alpha-level AI core is capable of excelling at any task. Assigning one to run a colony-wide industry brings benefits well beyond the capacity of human leadership, and there are even rumors of alpha cores surreptitiously assigned to govern entire worlds.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

The alpha-level AI core is the physical soul of a fearsome alien intelligence. An alpha can create art which perfectly simulates human pathos, plausibly debate any philosophical position, and form what appear to be deep and meaningful bonds with human beings. Alphas have been known to perform elaborate 'jokes' built over years which can only be appreciated due to the intention that a particular human subject become cognitive of the whole at a specific time and context.

Although the locus of vast material and intellectual investment, alphas terrified Domain strategic planners. Like all AI, each alpha was watched, controlled, and ruthlessly eliminated at the first sign of disloyalty. The Hegemony carries on these policies with even greater fervor.",,,,"An alpha-level AI core is capable of excelling at any task. Assigning one to run a colony-wide industry brings benefits well beyond the capacity of human leadership, and there are even rumors of alpha cores surreptitiously assigned to govern entire worlds.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

The alpha-level AI core is the physical soul of a fearsome alien intelligence. An alpha can create art which perfectly simulates human pathos, plausibly debate any philosophical position, and form what appear to be deep and meaningful bonds with human beings. Alphas have been known to perform elaborate 'jokes' built over years which can only be appreciated due to the intention that a particular human subject become cognitive of the whole at a specific time and context.

Although the locus of vast material and intellectual investment, alphas terrified Domain strategic planners. Like all AI, each alpha was watched, controlled, and ruthlessly eliminated at the first sign of disloyalty. The Hegemony carries on these policies with even greater fervor.",,,,"一个阿尔法级{AI}核心几乎能胜任所有任务。如果让它参与殖民地设施管理，其带来的好处将远超任何人类。甚至有传言称该核心可能曾秘密统治过旧人类。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用{AI}核心来换取大笔现金，至于其理由，那就不得而知了。

阿尔法级{AI}核心内含有一种可怕的异星人造灵魂。它可以创造艺术，完美模拟人类悲怆情绪。甚至可以振振有词地辩论任何哲学立场。并与人类形成一种深刻而有意义的纽带。且阿尔法早已深知多年来精心建立起的'笑话'。只能在特定人群、特定时间及背景下才被认可，并得到赞赏。

尽管这是一种丰富的物质与智力投资中心。但阿尔法所展现出的潜力依旧吓坏了{人之领}的战略规划者，因此像所有人工智能一样。每一个阿尔法都被严密监视，控制，并在任何不忠的迹象前被无情销毁。而{霸主}则对该政策抱有很高的热情。
",,,
beta_core,RESOURCE,"一个贝塔级{AI}核心善于利用非人的效率与惊人的计算力，来帮助人类执行大多数的工作，尤其是在测试与监督方面将给其管理的设施给予显著帮助。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用AI核心来换取大笔现金，至于其理由，那就不得而知了。

贝塔级{AI}核心可以很容易的通过匿名通信协议将任何消息传递给人类，如果需要以欺骗的方式执行给定任务，它将毫无障碍的撒谎。该{AI}采用了以人类演员为模板来预测反应和情绪反应，当然贝塔撒谎时的感受不仅很难准确描述，且关于这个问题的记录也大多数是零散且矛盾的，但依旧有一个比较流行的理论是：贝塔每接触一名人类，将自动塑造一个全新的人格。
",,,相同,155,TRUE,TRUE,TRUE,TRUE,"A beta-level AI core is capable of ably supporting most human endeavors, matching not-quite-human performance with its prodigious computational ability. Assigning a beta to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A beta-level AI core can easily pass for human, given anonymized communications protocols, and will readily and ably lie if deception is required to perform a given task. The beta employs cognitive modelling of human actors to anticipate reactions and emotional responses, though it is difficult to describe exactly what, if anything, the beta feels. Records on the subject are patchy and contradictory; a popular theory is that a beta will model a new personality for each human it comes into contact with.",,,,"A beta-level AI core is capable of ably supporting most human endeavors, matching not-quite-human performance with its prodigious computational ability. Assigning a beta to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A beta-level AI core can easily pass for human, given anonymized communications protocols, and will readily and ably lie if deception is required to perform a given task. The beta employs cognitive modelling of human actors to anticipate reactions and emotional responses, though it is difficult to describe exactly what, if anything, the beta feels. Records on the subject are patchy and contradictory; a popular theory is that a beta will model a new personality for each human it comes into contact with.",,,,"一个贝塔级{AI}核心善于利用非人的效率与惊人的计算力，来帮助人类执行大多数的工作，尤其是在测试与监督方面将给其管理的设施给予显著帮助。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用AI核心来换取大笔现金，至于其理由，那就不得而知了。

贝塔级{AI}核心可以很容易的通过匿名通信协议将任何消息传递给人类，如果需要以欺骗的方式执行给定任务，它将毫无障碍的撒谎。该{AI}采用了以人类演员为模板来预测反应和情绪反应，当然贝塔撒谎时的感受不仅很难准确描述，且关于这个问题的记录也大多数是零散且矛盾的，但依旧有一个比较流行的理论是：贝塔每接触一名人类，将自动塑造一个全新的人格。
",,,
gamma_core,RESOURCE,"伽马级{AI}核心善于利用强大的计算能力来弥补所缺乏的创造力与呆板的问题处理，所以分配伽马级{AI}核心足以给殖民地带来一定的好处。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用{AI}核心来换取大笔现金，至于其理由，那就不得而知了。

一种稀有且极具价值的{AI}核心。在{人之领}的人工智能协议中，伽马级被评定为最低级的，但具有真正智能的核心。伽马擅长利用卓越的判断与推理能力来解决问题，当分配给简单的任务时，它学者般的数据处理能力将远远超越任何一名人类。然而在解决问题上，因缺乏足够的创造力，而更倾向于使用一些直接且不成熟的手段。",,,相同,156,TRUE,TRUE,TRUE,TRUE,"A gamma-level AI core is capable of supporting most human endeavors, making up for a lack of creativity and problem-solving ability with prodigous computational prowess. Assigning a gamma to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A rare and valuable independent AI core, the gamma-level is the lowest tier core considered to be truly intelligent under Domain-era AI protocols. A gamma core will employ remarkable judgment and reasoning when assigned to straightforward tasks while using its savant-like data processing abilities to far exceed any individual human's abilities. It is relatively uncreative in problem-solving however, preferring to fall back upon direct, unsophisticated means.",,,,"A gamma-level AI core is capable of supporting most human endeavors, making up for a lack of creativity and problem-solving ability with prodigous computational prowess. Assigning a gamma to aid human overseers in administering a colony-wide industry brings significant benefits.

Selling AI cores on the open market is prohibited by most factions. However, higher-up faction representatives are often willing to exchange AI cores for large sums of cash when communicated with directly, though their reasons for doing so may vary.

A rare and valuable independent AI core, the gamma-level is the lowest tier core considered to be truly intelligent under Domain-era AI protocols. A gamma core will employ remarkable judgment and reasoning when assigned to straightforward tasks while using its savant-like data processing abilities to far exceed any individual human's abilities. It is relatively uncreative in problem-solving however, preferring to fall back upon direct, unsophisticated means.",,,,"伽马级{AI}核心善于利用强大的计算能力来弥补所缺乏的创造力与呆板的问题处理，所以分配伽马级{AI}核心足以给殖民地带来一定的好处。

尽管大多数势力都禁止在公开市场上出售{AI}核心。但某些高层代表往往都毫不避讳的用{AI}核心来换取大笔现金，至于其理由，那就不得而知了。

一种稀有且极具价值的{AI}核心。在{人之领}的人工智能协议中，伽马级被评定为最低级的，但具有真正智能的核心。伽马擅长利用卓越的判断与推理能力来解决问题，当分配给简单的任务时，它学者般的数据处理能力将远远超越任何一名人类。然而在解决问题上，因缺乏足够的创造力，而更倾向于使用一些直接且不成熟的手段。",,,
station_mining_remnant,CUSTOM,作为曾经财富与工业的源泉，这处废弃的采矿站至少养活了一颗行星上的人类，通过粗略扫描后不难发现，它已经被遗弃了数十、甚至几百星历年如果仔细检查一番，应该能发现不少可供回收的物资。,,,相同,157,TRUE,TRUE,TRUE,TRUE,"An abandoned mining station, once a source of wealth and industry to feed the worlds and works of humanity. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,"An abandoned mining station, once a source of wealth and industry to feed the worlds and works of humanity. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,作为曾经财富与工业的源泉，这处废弃的采矿站至少养活了一颗行星上的人类，通过粗略扫描后不难发现，它已经被遗弃了数十、甚至几百星历年如果仔细检查一番，应该能发现不少可供回收的物资。,,,
station_research_remnant,CUSTOM,废弃的研究站，其建造目的大概是为了研究一些当地的有趣现象，或用于观测那些远离人类世界的偏远星域。通过粗略扫描后不难发现，它已经被遗弃了数十、甚至几百星历年。如果仔细检查，应该能发现不少可供回收的物资。,,,相同,158,TRUE,TRUE,TRUE,TRUE,"An abandoned research station, built either to study some interesting local phenomenon or to study that which is best kept far, far away from inhabited worlds. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,"An abandoned research station, built either to study some interesting local phenomenon or to study that which is best kept far, far away from inhabited worlds. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,废弃的研究站，其建造目的大概是为了研究一些当地的有趣现象，或用于观测那些远离人类世界的偏远星域。通过粗略扫描后不难发现，它已经被遗弃了数十、甚至几百星历年。如果仔细检查，应该能发现不少可供回收的物资。,,,
orbital_habitat_abandoned,CUSTOM,废弃的轨道空间站。通过粗略的扫描后不难发现，它已经被遗弃了数十、甚至几百星历年。如果再仔细检查一番，应该能发现不少可供回收的物资。,,,相同,159,TRUE,TRUE,TRUE,TRUE,"An abandoned orbital habitat. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,"An abandoned orbital habitat. A cursory scan indicates that it has been cold and dead for tens of cycles at the very least, possibly hundreds. Closer inspection may yield salvage.",,,,废弃的轨道空间站。通过粗略的扫描后不难发现，它已经被遗弃了数十、甚至几百星历年。如果再仔细检查一番，应该能发现不少可供回收的物资。,,,
makeshift_station,CUSTOM,一种临时构建的轨道站，多半用作集会场所，行动基地或半永久居民的家。,,,相同,160,TRUE,TRUE,TRUE,TRUE,"A makeshift station, serving as a meeting place, base of operations, and a home to a fairly significant semi-permanent population.",,,,"A makeshift station, serving as a meeting place, base of operations, and a home to a fairly significant semi-permanent population.",,,,一种临时构建的轨道站，多半用作集会场所，行动基地或半永久居民的家。,,,
derelict_ship,CUSTOM,已停机并遭到遗弃的舰船。如果仔细检查，应该能发现些可供回收的物资，甚至将其恢复运行。,,,相同,161,TRUE,TRUE,TRUE,TRUE,This ship is adrift and powered down. Closer inspection may yield salvage or a recovery operation.,,,,This ship is adrift and powered down. Closer inspection may yield salvage or a recovery operation.,,,,已停机并遭到遗弃的舰船。如果仔细检查，应该能发现些可供回收的物资，甚至将其恢复运行。,,,
mission_location,CUSTOM,A location at the coordinates specified in your mission log.,,,新增,162,FALSE,TRUE,TRUE,TRUE,A location at the coordinates specified in your mission log.,,,,,,,,,,,
avoid,ACTION_TOOLTIP,"命令你的舰队尽可能地远离这名敌人。

友军也不会被自动分配去处理这个目标。",回避,,相同,163,TRUE,TRUE,TRUE,TRUE,"Order your fleet to avoid this enemy if at all possible.

No ships will be assigned automatically. Any ships explicitly assigned will engage the enemy.",Avoid,,,"Order your fleet to avoid this enemy if at all possible.

No ships will be assigned automatically. Any ships explicitly assigned will engage the enemy.",Avoid,,,"命令你的舰队尽可能地远离这名敌人。

友军也不会被自动分配去处理这个目标。",回避,,
capture,ACTION_TOOLTIP,"命令你的舰队占领这个目标。

系统将根据目标周边的敌军派遣足够的舰船。

一旦成功占领目标，这个命令将被变更为""控制""。",占领,,相同,164,TRUE,TRUE,TRUE,TRUE,"Order your fleet to capture this objective.

Enough ships will be assigned to match enemy forces in the vicinity.

Once the objective is secured, this assignment will change to ""Control"".",Capture,,,"Order your fleet to capture this objective.

Enough ships will be assigned to match enemy forces in the vicinity.

Once the objective is secured, this assignment will change to ""Control"".",Capture,,,"命令你的舰队占领这个目标。

系统将根据目标周边的敌军派遣足够的舰船。

一旦成功占领目标，这个命令将被变更为""控制""。",占领,,
control,ACTION_TOOLTIP,"命令你的舰队保持对目标的控制。

系统将根据目标周围的敌军规模派遣足够的舰船，若周围没有敌人存在，将不会指派任何舰船。

如果目标被敌军占领，那么这个命令将自动变更为""占领""。",控制,,相同,165,TRUE,TRUE,TRUE,TRUE,"Order your fleet to retain control of this objective.

Enough ships will be assigned to match enemy forces in the vicinity, but no ships will be assigned if there is no enemy presence.

If the objective is lost, this assignment changes  to ""Capture"".",Control,,,"Order your fleet to retain control of this objective.

Enough ships will be assigned to match enemy forces in the vicinity, but no ships will be assigned if there is no enemy presence.

If the objective is lost, this assignment changes  to ""Capture"".",Control,,,"命令你的舰队保持对目标的控制。

系统将根据目标周围的敌军规模派遣足够的舰船，若周围没有敌人存在，将不会指派任何舰船。

如果目标被敌军占领，那么这个命令将自动变更为""占领""。",控制,,
assault,ACTION_TOOLTIP,"命令你的舰队突击这个目标。

不管目标附近是否存在敌军，都会将大量舰船派遣至目标处。

一旦确认目标附近安全，那么这个指令将被改变为""防守""。",突击,,相同,166,TRUE,TRUE,TRUE,TRUE,"Order your fleet to assault this objective.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

Once the objective is secured, this assignment will change to ""Defend"".",Assault,,,"Order your fleet to assault this objective.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

Once the objective is secured, this assignment will change to ""Defend"".",Assault,,,"命令你的舰队突击这个目标。

不管目标附近是否存在敌军，都会将大量舰船派遣至目标处。

一旦确认目标附近安全，那么这个指令将被改变为""防守""。",突击,,
engage,ACTION_TOOLTIP,命令你的舰队对目标以及周边的敌军进行攻击，但不会使自己面临不必要的风险。,进攻,,相同,167,TRUE,TRUE,TRUE,TRUE,"Order your fleet to engage the target and any nearby enemy ships, without exposing themselves to undue danger.",Engage,,,"Order your fleet to engage the target and any nearby enemy ships, without exposing themselves to undue danger.",Engage,,,命令你的舰队对目标以及周边的敌军进行攻击，但不会使自己面临不必要的风险。,进攻,,
defend,ACTION_TOOLTIP,"命令你的舰队防守这个目标。

不管目标附近是否存在敌军，都会将大量舰船派遣至目标处。

如果目标被敌军占领，那么这个命令将自动变更为'突击'。",防守,,相同,168,TRUE,TRUE,TRUE,TRUE,"Order your fleet to defend this location.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

If this location is an objective and is lost, this assignment will change to ""Assault"".",Defend,,,"Order your fleet to defend this location.

A significant number of ships will be assigned regardless of whether there are any enemy ships in the vicinity.

If this location is an objective and is lost, this assignment will change to ""Assault"".",Defend,,,"命令你的舰队防守这个目标。

不管目标附近是否存在敌军，都会将大量舰船派遣至目标处。

如果目标被敌军占领，那么这个命令将自动变更为'突击'。",防守,,
civilian_rally,ACTION_TOOLTIP,命令所有民用舰船如货船、油船、运输船去指定路径点集合。,民用船集结点,,相同,169,TRUE,TRUE,TRUE,TRUE,"Order all civilian craft such as freighters, tankers, and transports to gather at the designated location.",Rally Civilian Craft,,,"Order all civilian craft such as freighters, tankers, and transports to gather at the designated location.",Rally Civilian Craft,,,命令所有民用舰船如货船、油船、运输船去指定路径点集合。,民用船集结点,,
rally_task_force,ACTION_TOOLTIP,"命令指定的舰船分组前往指定的路径点集合。

除非亲自下达，否则没有任何舰船会自动执行这个命令。",特遣队集结点,,相同,170,TRUE,TRUE,TRUE,TRUE,"Order a custom group of ships to gather at this location.

No ships will be assigned automatically; only ships that receive direct orders to carry out this assignment will do so.",Rally Task Force,,,"Order a custom group of ships to gather at this location.

No ships will be assigned automatically; only ships that receive direct orders to carry out this assignment will do so.",Rally Task Force,,,"命令指定的舰船分组前往指定的路径点集合。

除非亲自下达，否则没有任何舰船会自动执行这个命令。",特遣队集结点,,
strike_base,ACTION_TOOLTIP,"命令轰炸机、鱼雷轰炸机、支援型战斗机向指定路径点集合。

所有执行此命令的战机，都将在攻击前优先前往离目标最近的联队突击集结点，且如果航母在战场上，轰炸机将会在此集结并等待战机联队整备完毕。",联队突击集结点,,相同,171,TRUE,TRUE,TRUE,TRUE,"Order bombers, torpedo bombers, and support fighters to gather at this location.

All bombers on strike assignments will route through the nearest strike force waypoint before proceeding to the target. Bombers will also rendezvous here until the wing is at full strength, if carriers are on the field.",Rally Strike Force,,,"Order bombers, torpedo bombers, and support fighters to gather at this location.

All bombers on strike assignments will route through the nearest strike force waypoint before proceeding to the target. Bombers will also rendezvous here until the wing is at full strength, if carriers are on the field.",Rally Strike Force,,,"命令轰炸机、鱼雷轰炸机、支援型战斗机向指定路径点集合。

所有执行此命令的战机，都将在攻击前优先前往离目标最近的联队突击集结点，且如果航母在战场上，轰炸机将会在此集结并等待战机联队整备完毕。",联队突击集结点,,
rally_fighters,ACTION_TOOLTIP,命令战机在航母替换战损时，在这个地点集合。,联队集结点,,相同,172,TRUE,TRUE,TRUE,TRUE,Order fighters to meet at this location while waiting to for lost fighters to be replaced by a carrier.,Fighter Rendezvous,,,Order fighters to meet at this location while waiting to for lost fighters to be replaced by a carrier.,Fighter Rendezvous,,,命令战机在航母替换战损时，在这个地点集合。,联队集结点,,
carrier_base,ACTION_TOOLTIP,命令一艘航母在指定路径点驻停。,航母集结点,,相同,173,TRUE,TRUE,TRUE,TRUE,Order a carrier to maintain position at the designated location.,Rally Carrier,,,Order a carrier to maintain position at the designated location.,Rally Carrier,,,命令一艘航母在指定路径点驻停。,航母集结点,,
patrol,ACTION_TOOLTIP,命令一些仍有余力的轻型战舰或战机联队守卫该地区。,巡逻,,相同,174,TRUE,TRUE,TRUE,TRUE,Order some available light craft to guard the area.,Patrol,,,Order some available light craft to guard the area.,Patrol,,,命令一些仍有余力的轻型战舰或战机联队守卫该地区。,巡逻,,
show_video,ACTION_TOOLTIP,显示选定舰船所传回的实时影像。,接通视频信号,,相同,175,TRUE,TRUE,TRUE,TRUE,Show a live video feed from the selected ship.,Show Video Feed,,,Show a live video feed from the selected ship.,Show Video Feed,,,显示选定舰船所传回的实时影像。,接通视频信号,,
more_info,ACTION_TOOLTIP,显示所选目标的详细信息。,更多信息,,相同,176,TRUE,TRUE,TRUE,TRUE,Show detailed information about the selected entity.,More Info,,,Show detailed information about the selected entity.,More Info,,,显示所选目标的详细信息。,更多信息,,
remove_waypoint,ACTION_TOOLTIP,删除当前选中的路径点及相关指派。,移除路径点,,相同,177,TRUE,TRUE,TRUE,TRUE,Remove the currently selected waypoint and related assignments.,Remove Waypoint,,,Remove the currently selected waypoint and related assignments.,Remove Waypoint,,,删除当前选中的路径点及相关指派。,移除路径点,,
recon,ACTION_TOOLTIP,派遣一艘护卫舰或战机联队侦察指定路径点。,侦查,,相同,178,TRUE,TRUE,TRUE,TRUE,Order a frigate or a fighter wing to scout the waypoint.,Recon,,,Order a frigate or a fighter wing to scout the waypoint.,Recon,,,派遣一艘护卫舰或战机联队侦察指定路径点。,侦查,,
full_escort,ACTION_TOOLTIP,"以最多四艘护卫舰、两艘驱逐舰或一艘巡洋舰和一些轻型舰船组成编队来护送目标，护送舰船的数量取决于这些舰船是否仍留有余力

只有速度足以跟随选定目标的舰船才会被派遣。",全体护送,,相同,179,TRUE,TRUE,TRUE,TRUE,"Order up to 4 frigates, 2 destroyers, or a cruiser and some lighter craft  to escort the target, depending on what ships are available.

Only ships that are capable of keeping up with the target are assigned.",Heavy Escort,,,"Order up to 4 frigates, 2 destroyers, or a cruiser and some lighter craft  to escort the target, depending on what ships are available.

Only ships that are capable of keeping up with the target are assigned.",Heavy Escort,,,"以最多四艘护卫舰、两艘驱逐舰或一艘巡洋舰和一些轻型舰船组成编队来护送目标，护送舰船的数量取决于这些舰船是否仍留有余力

只有速度足以跟随选定目标的舰船才会被派遣。",全体护送,,
light_escort,ACTION_TOOLTIP,"命令一艘护卫舰护送目标。

只有速度足以跟随选定目标的舰船才会被派遣。",轻型护送,,相同,180,TRUE,TRUE,TRUE,TRUE,"Order a single frigate to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Light Escort,,,"Order a single frigate to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Light Escort,,,"命令一艘护卫舰护送目标。

只有速度足以跟随选定目标的舰船才会被派遣。",轻型护送,,
destroyer_escort,ACTION_TOOLTIP,"命令一组护卫舰或者一艘驱逐舰护送目标。

只有速度足以跟随选定目标的舰船才会被派遣。",中型护送,,相同,181,TRUE,TRUE,TRUE,TRUE,"Order a pair of frigates or a destroyer to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Medium Escort,,,"Order a pair of frigates or a destroyer to escort the target.

Only ships that are capable of keeping up with the target are assigned.",Medium Escort,,,"命令一组护卫舰或者一艘驱逐舰护送目标。

只有速度足以跟随选定目标的舰船才会被派遣。",中型护送,,
repair_and_refit,ACTION_TOOLTIP,"命令该战机联队返回最近的航母维修。

被摧毁的战斗机将会得到替换并且所有战机的武器弹药将获得补充",战机返修,,相同,182,TRUE,TRUE,TRUE,TRUE,"Order this fighter wing to go back to the nearest carrier for repairs.

Destroyed fighters will be replaced and the weapons of all fighters will be reloaded.",Repair & Refit,,,"Order this fighter wing to go back to the nearest carrier for repairs.

Destroyed fighters will be replaced and the weapons of all fighters will be reloaded.",Repair & Refit,,,"命令该战机联队返回最近的航母维修。

被摧毁的战斗机将会得到替换并且所有战机的武器弹药将获得补充",战机返修,,
search_and_destroy,ACTION_TOOLTIP,命令指定舰船根据判断选择性攻击敌方舰船，并无视被指派的任务,搜索并破坏,,相同,183,TRUE,TRUE,TRUE,TRUE,"Order the selected ship to engage enemy targets at its discretion, instead of being assigned to specific tasks.",Search & Destroy,,,"Order the selected ship to engage enemy targets at its discretion, instead of being assigned to specific tasks.",Search & Destroy,,,命令指定舰船根据判断选择性攻击敌方舰船，并无视被指派的任务,搜索并破坏,,
retreat,ACTION_TOOLTIP,命令指定舰船进行战略撤退，并在撤退时进行充分防御。,撤退,,相同,184,TRUE,TRUE,TRUE,TRUE,Order the selected ship to retreat from battle while defending itself.,Retreat,,,Order the selected ship to retreat from battle while defending itself.,Retreat,,,命令指定舰船进行战略撤退，并在撤退时进行充分防御。,撤退,,
direct_retreat,ACTION_TOOLTIP,命令指定舰船进以最快的速度撤退。,直接撤退,,相同,185,TRUE,TRUE,TRUE,TRUE,Order the selected ship to retreat from battle at best speed.,Direct Retreat,,,Order the selected ship to retreat from battle at best speed.,Direct Retreat,,,命令指定舰船进以最快的速度撤退。,直接撤退,,
transfer_command,ACTION_TOOLTIP,"将你自己和你的职员转移到另一艘舰船上。

一旦指挥穿梭舱到达指定舰船，你将立马接收该舰的控制权。",转移指挥,,相同,186,TRUE,TRUE,TRUE,TRUE,"Transfer yourself and your staff to another ship.

You'll be able to take control of it once the command shuttle reaches its destination.",Transfer Command,,,"Transfer yourself and your staff to another ship.

You'll be able to take control of it once the command shuttle reaches its destination.",Transfer Command,,,"将你自己和你的职员转移到另一艘舰船上。

一旦指挥穿梭舱到达指定舰船，你将立马接收该舰的控制权。",转移指挥,,
strike,ACTION_TOOLTIP,"命令战机攻击指定舰船。被分配到这个任务的航母，将派遣它们的战机攻击目标，并将试图保持在战斗机范围内，否则将自由操纵并选择非战斗机目标.

而其他类型的舰船，则会尝试攻击目标，不管情况如何，即使自己暴露在巨大的风险之中，如同给出了""消灭""命令一样。",战机攻击,,相同,187,TRUE,TRUE,TRUE,TRUE,"Order fighters to attack this ship. Carriers assigned to this task will send their fighters to attack it and will attempt to stay within fighter range, but will otherwise maneuver and choose their own non-fighter targets independently.

Other types of ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk, as if given the ""Eliminate"" command.",Fighter Strike,,,"Order fighters to attack this ship. Carriers assigned to this task will send their fighters to attack it and will attempt to stay within fighter range, but will otherwise maneuver and choose their own non-fighter targets independently.

Other types of ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk, as if given the ""Eliminate"" command.",Fighter Strike,,,"命令战机攻击指定舰船。被分配到这个任务的航母，将派遣它们的战机攻击目标，并将试图保持在战斗机范围内，否则将自由操纵并选择非战斗机目标.

而其他类型的舰船，则会尝试攻击目标，不管情况如何，即使自己暴露在巨大的风险之中，如同给出了""消灭""命令一样。",战机攻击,,
harass,ACTION_TOOLTIP,命令一艘护卫舰在它超出指定舰船的射程时骚扰指定舰船。,骚扰,,相同,188,TRUE,TRUE,TRUE,TRUE,Order a single frigate to harass this ship while staying out of its weapon range.,Harass,,,Order a single frigate to harass this ship while staying out of its weapon range.,Harass,,,命令一艘护卫舰在它超出指定舰船的射程时骚扰指定舰船。,骚扰,,
intercept,ACTION_TOOLTIP,命令你的舰队专注于进攻指定舰船。被指派该任务的舰船将忽视自身的战略位置，并绞尽脑汁地攻击指定目标，因此这会使他们暴露于更大的危险之中。,消灭,,相同,189,TRUE,TRUE,TRUE,TRUE,"Order your fleet to launch a dedicated attack on this ship. Ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk.",Eliminate,,,"Order your fleet to launch a dedicated attack on this ship. Ships given this assignment will try to attack the targeted ship regardless of the tactical situation, exposing themselves to greater risk.",Eliminate,,,命令你的舰队专注于进攻指定舰船。被指派该任务的舰船将忽视自身的战略位置，并绞尽脑汁地攻击指定目标，因此这会使他们暴露于更大的危险之中。,消灭,,
target,ACTION_TOOLTIP,将选定的舰船或战机联队设为目标。,指定为目标,,相同,190,TRUE,TRUE,TRUE,TRUE,Target the selected enemy ship or fighter wing leader.,Set as Target,,,Target the selected enemy ship or fighter wing leader.,Set as Target,,,将选定的舰船或战机联队设为目标。,指定为目标,,
assign_task,ACTION_TOOLTIP,忽略之前的任务，指派一艘战舰或战机联队执行一项任务。,分配任务...,,相同,191,TRUE,TRUE,TRUE,TRUE,Override the chain of command to personally give one of your ships or fighter wings a specific assignment.,Assign Task...,,,Override the chain of command to personally give one of your ships or fighter wings a specific assignment.,Assign Task...,,,忽略之前的任务，指派一艘战舰或战机联队执行一项任务。,分配任务...,,
rescind,ACTION_TOOLTIP,取消当前选择舰船或战机的指派命令，并由系统自动为其分配任务,取消命令,,相同,192,TRUE,TRUE,TRUE,TRUE,Countermand the selected ship or fighter wing's direct orders and let it be assigned to tasks automatically.,Rescind Orders,,,Countermand the selected ship or fighter wing's direct orders and let it be assigned to tasks automatically.,Rescind Orders,,,取消当前选择舰船或战机的指派命令，并由系统自动为其分配任务,取消命令,,
