id,trigger,conditions,script,text,options,notes
gaFCIsirahMercRespondThreats,DialogOptionSelected,$option == gaFC_isirahMercRespondThreats,"$threatsResponded = true
FireAll GAFCIsirahMercHubOptions","""喔，""雇佣兵歪了歪{$hisOrHer}头，""我威胁你了吗?""",,
gaFCIsirahMercWhoWorkFor,DialogOptionSelected,$option == gaFC_isirahMercWhoWorkFor,"$whoWorkFor = true
FireAll GAFCIsirahMercHubOptions","""我的雇主。""雇佣兵交叉着{$hisOrHer}双臂。

"" - 那个想让你提供独家情报的人，他也...非常谨慎，所以你不必担心自己的声誉，即便你出卖了你的雇主。""{$HeOrShe}斟酌了一下自己的用词，""在很大程度上。""",,
gaFCIsirahMercGetNothing,DialogOptionSelected,$option == gaFC_isirahMercGetNothing,"MakeOtherFleetImportant gaFA false
$noDeal = true
MakeOtherFleetGoAway true","在你回答之后，雇佣兵一动不动地坐了足足十秒钟。然后{$heOrShe}闭上了眼睛，点了点{$hisOrHer}头。""我明白了。""

雇佣兵又睁开了{$hisOrHer}眼睛，并就这么直直地看着你，眼皮也不动一下。""真令人失望。再见了，舰长。""","gaFC_isirahMercGetNothing2:""就这样? 你就直接走了吗?""
cutCommLink:切断通讯",
gaFCIsirahMercGetNothing2,DialogOptionSelected,$option == gaFC_isirahMercGetNothing2,,"""就这样，""{$heOrShe}说，然后停顿了一会，眼睛一眨不眨。

""下次见，舰长。""雇佣兵最后留下了这么一句话。{$HeOrShe}关闭了和你的通讯链接; 屏幕渐渐变得漆黑一片。",cutCommLinkNoText:切断通讯,
,,,,,,
# gaFC SEARCH_ISIRAH stage,,,,,,
# talk to Baird about Isirah search,,,,,,
gaFCBaird_SEARCH_ISIRAH,PopulateOptions,"$id == baird
Call $global.gaFC_ref updateData
$gaFC_stage == SEARCH_ISIRAH score:1000",,,10:gaFC_tellBairdIsirah1:告诉{Coureuse}，{Coureuse}现在在{Isirah}星系。,
gaFCTellBairdIsirah1,DialogOptionSelected,$option == gaFC_tellBairdIsirah1,,"{Baird}院长的目光越过那往下滑了些许的眼镜投向你，""但是你还没有与她取得联系。因为如果你那么做了，那才是你该告诉我的事。""

她叹了口气，短暂地抬起眼睛望向天空 - 大概是天空的方向。""很好...""

""如果信息是可靠的，那么你可以直接向当地政府了解情况来看看你能查明些什么，这或许会是有效的办法。""她已经进入了演讲的状态。""虚张声势，大概吧。星系内相互竞争的当局可能知道对方的活动; 情报工作与反情报工作。那些不那么谨慎的人可能会被贿赂 - 在你开口之前，我得说我们已经给了你足够的钱，让你不管怎样都能完成这项任务，所以不要再为财务处添乱了。""",gaFC_tellBairdIsirah2:继续,
gaFCTellBairdIsirah2,DialogOptionSelected,$option == gaFC_tellBairdIsirah2,,"她在照亮她办公室的凸窗前转过了身子，踱步起来，""另一方面，你也可以采取一种不那么直接的方式。某些底层居民和激进人士，甚至是卢德的左径分子，都可能在追踪着{Coureuse}。或者是自己也在找她。我相信你有能力从这些人渣入手。""

她停了下来，面对着你，""并不是所有的问题都能通过简单粗暴的方式解决，""一个微笑出现在了她脸上，""也许，所有的知识都是人类遭受挫折后总结出来的。现在，去吧。等我能联系上{Scylla}Coureuse}，你就可以得到报酬。""",cutCommLink:离开,
# gaFC SEARCH_ISIRAH generic investigation summary,,,,,,
gaFCSearchIsirahSummaryComms2,GAFCSearchIsirahSummary,"$isPerson
$global.gaFC_isirahClues == 1",,"现在只有一项证据表明{Coureuse}在{Laicaille}栖息地，如果你试图以某种方式利用它对当局提出质疑，对方可能会以这只是间接证据为由不予考虑。

你得再找一个确凿的证据。",cutCommLink:离开,
gaFCSearchIsirahSummaryComms3,GAFCSearchIsirahSummary,"$isPerson
$global.gaFC_isirahClues >= 2","$gaFC_confrontAdmin = true
Call $global.gaFC_ref updateStage","现在你有了两份不同的证据，你觉得自己已经有足够的筹码去和{Laicaille}栖息地的当局就{Scylla}Coureuse}的事进行对质。

是时候和{Laicaille}栖息地的执政官谈谈了。",cutCommLink:离开,
gaFCSearchIsirahSummaryDialog2,GAFCSearchIsirahSummary,$global.gaFC_isirahClues == 1,,"现在只有一项证据表明{Coureuse}在{Laicaille}栖息地，如果你试图以某种方式利用它对当局提出质疑，对方可能会以这只是间接证据为由不予考虑。

你得再找一个确凿的证据。",defaultLeave:离开,
gaFCSearchIsirahSummaryDialog3,GAFCSearchIsirahSummary,$global.gaFC_isirahClues >= 2,"$gaFC_confrontAdmin = true
Call $global.gaFC_ref updateStage","现在你有了两份不同的证据，你觉得自己已经有足够的筹码去和{Laicaille}栖息地的当局就{Scylla}Coureuse}的事进行对质。

是时候和{Laicaille}栖息地的执政官谈谈了。",defaultLeave:离开,
# gaFC Groombridge Habitat secret relay,,,,,,
gaFCGroombridgeSearchStart,OpenInteractionDialog,"$id == groombridge_habitat
$global.gaFC_gotIsirahLeadFromProbes
Call $global.gaFC_ref updateData
$global.gaFC_searchIsirah score:1000
!$global.gaFC_foundGroombridgeRelay","ShowDefaultVisual
PrintDescription 3",,"gaFC_groombridgeSearch1:在空间站里找一个临时的超空间通讯接收器
defaultLeave:离开",
gaFCGroombridgeSearch1,DialogOptionSelected,$option == gaFC_groombridgeSearch1,,"你召集你舰队中的高级官员讨论与{Coureuse}有关的，{Isirah}星系中的超空间通讯信息。{Groombridge}栖息地的初步扫描图在全息投影仪的显示屏上缓慢旋转。

""理论上，""你的导航技师说，""超空间相互作用场只能周期性地产生脉冲。除非我们在适当的时候捕捉到，否则它是不可能被发现的。如今我们也不知道有关的时刻表。""",gaFC_groombridgeSearch2:继续,
gaFCGroombridgeSearch2,DialogOptionSelected,$option == gaFC_groombridgeSearch2,,"你的通讯技师说: ""同样的原理也可以应用到星系内的中继器上。数据可以被缓存，然后脉冲到栖息地，飞船，另一个中继器...""

你的执行主管则开口道，"" - 反应堆会不断地放出辐射，没人能凑近观察或长时间逗留。唯一的搜索方法是，""说到这，一阵深思熟虑的停顿支配了现场，""配备辐射保护层的无人机，只去不回。中继器里通常会有非常强大的辐射屏障。""","gaFC_groombridgeSearch3:""看起来你们知道该找什么了，不管你们有什么点子，让它变成现实吧。""",
gaFCGroombridgeSearch3,DialogOptionSelected,$option == gaFC_groombridgeSearch3,,你们舰桥上的船员交换了一下眼神 - 他们的舰长又发出了这样得一个命令 - 而你的执行主管向后靠了靠，沉思起来。,gaFC_groombridgeSearch4:继续,
gaFCGroombridgeSearch4,DialogOptionSelected,$option == gaFC_groombridgeSearch4,,"在下一次交班的时候，带有保护层的无人机已经准备好了，你的执行主管会监督它们的部署。你则通过{Groombridge}栖息地的投影来跟踪他们的进展，影像十分模糊 - 它被保护得很好导致你的扫描无法穿透，亦或是放射性太强以至于无法很好地读取数据 - 但仍带有一些清晰的细节。很快，在一个靠近致命的空间站核心的损坏工作间里，一团奇怪的东西被发现了。

技术人员和通讯技师开始讨论如何攻破和骇入中继; 你的行动组长咆哮起来，只用一句话就让他们安静了下来: ""如果我是这里的负责人，我不会部署一个这么简单就能被攻陷的东西!""

传感器技师大声道: ""我们只需要拦截星系内的信号，对吗? 现在不清楚什么时候会有信号，我们可以部署一...呃...一大堆探测器。""你的执行主管看着你的传感器技师叹了口气。
","gaFC_groombridgeSearch5:""就那么做吧。""",
gaFCGroombridgeSearch5,DialogOptionSelected,$option == gaFC_groombridgeSearch5,"$global.gaFC_knowWhereScyllaIs = true
$global.gaFC_foundGroombridgeRelay = true
$global.gaFC_isirahClues++
FireBest GAFCSearchIsirahSummary","在建立一个临时的探测器集群后数小时内，中继器发射了一个通讯信号。向外射出的一丝信号被你的领航员投射到了你的旗舰舰桥主全息显示器上，这条线指向{Laicaille}栖息地。不完全是，但已经很接近了。也许是轨道上的另一个中继器。

""我们跟着这条线走就可以了。""你的通讯技师说。",,
gaFCGroombridgeSearchBStart,OpenInteractionDialog,"$id == groombridge_habitat
$global.gaFC_ghostStory
Call $global.gaFC_ref updateData
$global.gaFC_searchIsirah score:1000
!$global.gaFC_foundGroombridgeRelay","ShowDefaultVisual
PrintDescription 3",,"gaFC_groombridgeSearchB1:在空间站上寻找神秘信号的来源
defaultLeave:离开",
gaFCGroombridgeSearchB1,DialogOptionSelected,$option == gaFC_groombridgeSearchB1,,"你召集你舰队中的高级官员来讨论{Isirah}星系中的秘密通讯爆发事件。{Groombridge}栖息地的初步扫描图在全息投影仪的显示屏上缓缓旋转着。

""为什么呢? 我这只是个设问，""你的导航官说，""因为从这里向{Laicaille}传递信号的唯一可能性是，你的信号来自一个隐藏的超空间通讯中继器。""

你的通讯技师举起手，在你点头的时候说，""这比较非常规。但{Groombridge}是无人居住的，所以没有人会对超空间信号的冲洗提出抱怨。""

你的执行主管接着说，""反应堆像这样放出辐射，没人会凑过去看，没有拾荒者会。""","gaFC_groombridgeSearchB2:""如果这有个超空间通讯中继器，我们该怎样找到它?""",
gaFCGroombridgeSearchB2,DialogOptionSelected,$option == gaFC_groombridgeSearchB2,,"""中继器里通常会有非常强大的辐射屏障，""你的执行主管开口道，""所以我们可以选择配备辐射保护层的无人机，只去不回。那样就可以知道我们到底在找什么了。""","gaFC_groombridgeSearchB3:""去吧。""",
gaFCGroombridgeSearchB3,DialogOptionSelected,$option == gaFC_groombridgeSearchB3,,"在下一次交班的时候，带有保护层的无人机已经准备好了，你的执行主管会监督它们的部署。你则通过{Groombridge}栖息地的投影来跟踪他们的进展，影像十分模糊 - 它被保护得很好导致你的扫描无法穿透，亦或是放射性太强以至于无法很好地读取数据 - 但仍带有一些清晰的细节。很快，在一个靠近致命的空间站核心的损坏工作间里，一团奇怪的东西被发现了。

技术人员和通讯技师开始讨论如何攻破和骇入中继; 你的行动组长咆哮起来，只用一句话就让他们安静了下来: ""如果我是这里的负责人，我不会部署一个这么简单就能被攻陷的东西!""

传感器技师大声道: ""我们只需要拦截星系内的信号，对吗? 现在不清楚什么时候会有信号，我们可以部署一...呃...一大堆探测器。""你的执行主管看着你的传感器技师叹了口气。","gaFC_groombridgeSearchB4:""就这么做。""",
gaFCGroombridgeSearchB4,DialogOptionSelected,$option == gaFC_groombridgeSearchB4,"$global.gaFC_knowWhereScyllaIs = true
$global.gaFC_foundGroombridgeRelay = true
$global.gaFC_isirahClues++
FireBest GAFCSearchIsirahSummary","在建立一个临时的探测器集群后数小时内，中继器发射了一个通讯信号。向外射出的一丝信号被你的领航员投射到了你的旗舰舰桥主全息显示器上，这条线指向{Laicaille}栖息地。不完全是，但已经很接近了。也许是轨道上的另一个中继器。

这是{Coureuse}熟悉的一种技术，即使它可以说是间接的，也巧合得太诡异了，你也许能用这个发现吓到{Laicaille}的当局。

还真藏有鬼啊。",,
,,,,,,
# gaFC Kapteyn Starworks,,,,,,
"# gaFC Kapteyn admin (""boss"")",,,,,,
gaFCKapteynAdminGreetAgain,PickGreeting,"$postId == administrator
$market.id == station_kapteyn
$wasAnnoying == true","ShowPersonVisual
FireAll PopulateOptions","当海盗头子接受通讯连接时，{$heOrShe}看上去有些烦躁。""又是你。""",,
gaFCKapteynBotherAdministrator,PopulateOptions,"$global.gaFC_searchIsirah
$postId == administrator
$market.id == station_kapteyn
Call $global.gaFC_ref updateData
$gaFC_stage == SEARCH_ISIRAH score:1000
!$global.gaFC_knowAboutLeagueOp",,,"gaFC_kapteynBossBother1:""我在找一个叫{Scylla}Coureuse}的人。""",
gaFCKapteynBossBother1,DialogOptionSelected,$option == gaFC_kapteynBossBother1,,"{$HeOrShe}打量着你，舔了舔{$hisOrHer}嘴唇，并稍微思考了一会。

""我也许知道这个人，也许并不。我为什么要告诉你呢?""","gaFC_kapteynBossBribeStart:""让我们来谈谈钱的事吧。""
gaFC_kapteynBossAppeal:""我是你们中的一员，我们可以合作一下。要知道我可是很有名气的。""
gaFC_kapteynBossKantaAppeal:""因为，呃，{Kanta}领主这么说了?""
cutCommLink:切断通讯",
gaFCKapteynBossBribeStart,DialogOptionSelected,"$option == gaFC_kapteynBossBribeStart
Call $global.gaFC_ref updateData","Highlight $gaFC_kapteynBribeCost 
DoCanAffordCheck $gaFC_kapteynBribeCost gaFC_kapteynBossOfferBribe false","海盗头子稍微往前倾了倾身子。""你成功地吸引了我的注意力，明事理的舰长。""

""如果你能支付...嗯，{$gaFC_kapteynBribeCost}星币，我就可以帮你 - 并且十分愿意这么做。""","gaFC_kapteynBossBribe:同意付款
gaFC_kapteynBossBother1:""我们还是再来谈谈这个{Scylla}Coureuse}吧。""",
gaFCKapteynBossKantaAppeal,DialogOptionSelected,$option == gaFC_kapteynBossKantaAppeal,"AdjustRepActivePerson INHOSPITABLE -1
$wasAnnoying = true","""不，她没有，告辞。"" 

海盗头子轻拍了一下通讯控制台，通讯就被断开了，你眼前的屏幕除了噪点以外只剩一片漆黑。",cutCommLink:关闭通讯,
gaFCKapteynBossAppeal,DialogOptionSelected,$option == gaFC_kapteynBossBribe,"AdjustRepActivePerson COOPERATIVE 10
RemoveCommodity credits $gaFC_kapteynBribeCost","""你很会说话，知道吗?""{$fullName}露出一副阴森的笑容，你能看到对方那闪烁着的金牙，""非常有说服力。""",gaFC_kapteynBossInfoDump1:继续,
gaFCKapteynBossAppeal2,DialogOptionSelected,$option == gaFC_kapteynBossAppeal,FireBest GAFCKapteynBossAppealResult,"海盗头子皱了皱眉头，然后将手伸向了{$hisOrHer}控制台。""稍等，舰长。""

通讯信号突然失效了，呈现在你面前的东西变成了古老的{天苑四-乌托邦集团}的等候接入界面。",,
gaFCKapteynBossAppealFail,GAFCKapteynBossAppealResult,$faction.relValue < 0,,,gaFC_kapteynBossAppealFailure:等待,
gaFCKapteynBossAppealSuccess,GAFCKapteynBossAppealResult,$faction.relValue > 0,,,gaFC_kapteynBossAppealSuccess:等待,
gaFCKapteynBossAppealSuccess2,DialogOptionSelected,$option == gaFC_kapteynBossAppealSuccess,AdjustRepActivePerson COOPERATIVE 15,"信号又恢复了。{$personName}正在查看{$hisOrHer}手中的数据板，对方看起来比之前放松了一些。

""啊，{$playername}。我就知道我在哪儿听过这个名字。对，不错，你为我们做过一些事情，所以现在我也可以帮你个忙。当事情变得棘手起来时不要忘了这一点，还有，一定要告诉志同道合的人，{$personName}是所有热爱自由但被法律抛弃的人的好朋友。""","gaFC_kapteynBossInfoDump1:""你可以放心，朋友。""",
gaFCKapteynBossAppealFailure,DialogOptionSelected,$option == gaFC_kapteynBossAppealFailure,,"信号又恢复了。{$personName}正在查看{$hisOrHer}手中的数据板。

""非常有趣，{$playerName}...舰长。因为在我看来，你一有机会就会把我交给最近的英仙座联盟舰队来换取一些荣誉和奖励。""{$HeOrShe}""砰""的一声将数据板砸到了地上。

""就这样了，我可没期望从你那里得到什么，如果你在我的空间站上有越线的行为，我就亲自毙了你。你什么也不是，只是一个会阿谀奉承的马屁精，所以别假装我们很熟，特别是当有巡逻队在这附近嗅来嗅去的时候。""",gaFC_kapteynBossAppealFailure2:继续,
gaFCKapteynBossAppealFailure2,DialogOptionSelected,$option == gaFC_kapteynBossAppealFailure2,"AdjustRepActivePerson INHOSPITABLE -5
$wasAnnoying = true",海盗头子拍打着控制台挂掉了通讯，你只能对着一堆噪点干瞪眼。,cutCommLink:切断通讯,
gaFCKapteynBossInfoDump1,DialogOptionSelected,$option == gaFC_kapteynBossInfoDump1,,"""我从某些人那里得到了一些信息。对，这就是我的工作 - 去调查谁在{Isirah}星系里搞小动作，以及他们是为谁而行动。""

{$HeOrShe}凑得离通讯设备更近了一些，轻声说道: ""听说英仙座联盟最近到处问关于一个叫{'Coureuse'}的人的问题，而这么做的原因便是霸主先开始四处这么调查。""","gaFC_kapteynBossInfoDump2:""然后呢?""",
gaFC_kapteynBossInfoDump2,DialogOptionSelected,$option == gaFC_kapteynBossInfoDump2,,"""然后，英仙座联盟里的眼线们突然就都不再问{'Coureuse'}的事了。这让我，{$firstName}，不禁想到估计是有人找到了他们想找的人。这同时还告诉了我那些人并不是经验老道的特工。交给英仙座联盟吧 - 人们都在这么说，不对吗? 但他们任命官员居然不考核能力而是考核影响力，真让我看不下去。""

""总之，在那之后不久，一群从{Kazeron}来的顶级英仙座联盟特工就开始在{Laicaille}栖息地'安居乐业'了。""",gaFC_kapteynBossInfoDump3:继续,
gaFC_kapteynBossInfoDump3,DialogOptionSelected,$option == gaFC_kapteynBossInfoDump3,"AddTextSmall ""收到英仙座联盟在{Laicaille}栖息地进行情报行动的相关档案"" highlight","""现在，作为一个好奇心旺盛的人和那些无业游民的朋友，我估计英仙座联盟就要开始打击我们那些明面上的企业了。但它没有这么做。而是让一切保持着原样，那么那些间谍到底来{Laicaille}做什么呢? 我这么问我自己。""

""我雇了一个专业监控团队，之后他们给了我一份清单，上面有一堆名字，租借房屋信息以及一些活动的日程表。看起来特工们在这里弄好了一些精致的安全屋。""海盗头子轻触了一些数据板，你的通讯则发出了提示音，告诉你有文件被传过来了。""你给自己搞到了一份资料，我的朋友。""","gaFC_kapteynBossInfoDump4:""我确实喜欢保持消息灵通的状态。""",
gaFC_kapteynBossInfoDump4,DialogOptionSelected,$option == gaFC_kapteynBossInfoDump4,"$global.gaFC_knowWhereScyllaIs = true
$global.gaFC_knowAboutLeagueOp = true
$global.gaFC_isirahClues++
unset $wasAnnoying","{$HeOrShe}靠回了椅背，摆出一副漫不经心的样子。""我只是个问问题的人，答案还得你自己去找，也许你还真能找到什么东西。希望你的努力能让那些英仙座联盟的呆子们变得谦逊一些。""海盗头子讲到这里，自己都笑了出来。

""别忘了是谁帮的你，如何?""",gaFC_kapteynWrapUp:切断通讯,
gaFC_kapteynWrapUp,DialogOptionSelected,$option == gaFC_kapteynWrapUp,FireBest GAFCSearchIsirahSummary,,,
,,,,,,
# gaFC ask around the bar on Laicaille,,,,,,
gaFCAskAroundLaicailleBarStart,AddBarEvents,"$global.gaFC_searchIsirah
$market.id == laicaille_habitat
!$askedBarCoureuse","AddBarEvent gaFCLaicaille_barEvent ""四处打听{Scylla}Coureuse}相关的信息"" ""这不过是瞎摸，但你依然可以试着问问这里有没有人知道关于{Scylla}Coureuse}的事""",,,
gaFCAskAroundLaicailleBar1,DialogOptionSelected,$option == gaFCLaicaille_barEvent,"$askedBarCoureuse = true
FireAll GAFCAskLaicailleBar1Options","你四处打听那位失踪院士的事，不断为别人买着价格适中的饮料，试图从他们的嘴里套出一些情报。这是一个星航者聚集的酒吧，尽管星航者们总是试着互帮互助，你却依然没法找到什么有价值的情报，你得到的更多的是对方的耸肩和道歉。

""对你无法找到你朋友的事，我感到很抱歉。""一个穿着简单实用的太空服的港口工人说，""我会为你们可能的重逢祈祷。""",,
gaFCAskLaicailleBar1Option1,GAFCAskLaicailleBar1Options,#$global.gaFC_hackedIsirahRelay,,,"gaFC_askLaicailleBarPather:""等等，你是什么左径分子吗?""",
gaFCAskLaicailleBar1Option2,GAFCAskLaicailleBar1Options,,,,backToBar:返回酒吧,
gaFCAskLaicailleBarPather,DialogOptionSelected,$option == gaFC_askLaicailleBarPather,,"港口工人的表情僵住了。""我可不是'左径分子'，{$playerSirOrMadam}。我确实遵循着银河救赎教会的教义，我得请求你不要做出偏执的假设，我们并不都是狂热人士和恐怖分子。""

他站了起来，留下一杯没碰过的饮料。""愿卢德的恩惠遍及所有生灵，无论大小，""留下这么一句话后，对方跺着脚离开了。",backToBar:返回酒吧,
gaFCAskAroundLaicailleBarStartB,AddBarEvents,"$global.gaFC_searchIsirah
$market.id == laicaille_habitat
!$askedBarTechnicians","AddBarEvent gaFCLaicaille_barEvent2 ""问问技术人员发生什么事了"" ""几个技术人员在抱怨奇怪的信号干扰了导航中继器""",,,
gaFCAskAroundLaicailleBar2,DialogOptionSelected,$option == gaFCLaicaille_barEvent2,$askedBarTechnicians = true,"当你提出可以为他们买一杯饮料并愿意倾听他们的烦恼时，穿着破旧的{Laicaille}栖息地连身裤的太空站技术人员给出了不错的回应。你以自己有一次在离子风暴中遇到了通信困难为引子，问他们遇到了什么样的麻烦。

""倒是有件怪事，""一个大个子说，""不过没什么规律。每过几次轮班，一些轨道信标就会失灵，发出大量的噪音。上头的人让我们去检查信标，结果什么都没查出来。让我说，大概是有什么人发神经了，无缘无故地在那里整我们。""

""那绝对不是离子风暴导致的，我们敢肯定，""身材比较矮小的那个人说。""这不是自然现象。""","gaFCLaicaille_barEvent3:""你们觉得那是什么?""",
gaFCAskAroundLaicailleBar3,DialogOptionSelected,$option == gaFCLaicaille_barEvent3,,"""鬼。""大个子把眼睛瞪的老大。

小个子叹息着低吟起来: ""...卢德在上...""

大个子看起来恼火了: ""不，让我说出来吧。我的确说过我不会再提这事了，但现在这位舰长可是在很有礼貌地请求着。""","gaFCLaicaille_barEvent4:""请说下去吧。""
backToBar:""我不想听鬼故事，尽情享用你们的饮料就好。"" (离去)",
gaFCAskAroundLaicailleBar4,DialogOptionSelected,$option == gaFCLaicaille_barEvent4,,"""当反应堆失控进入临界状态时，{Groombridge}上的所有人都命丧黄泉了，""大个子说。""不，不是失控进入临界状态的。那是人为进入的临界状态，那是一场谋杀。""

""他们死得并不安宁，因为那不是意外，而充满了邪恶的阴谋，所以他们在呼救。那就是{Groombridge}上干扰源的本质了。""

小的那个轻声说: ""...怎么可能知道。""","gaFCLaicaille_barEvent5:""你怎么知道干扰来自{Groombridge}?""",
gaFCAskAroundLaicailleBar5,DialogOptionSelected,$option == gaFCLaicaille_barEvent5,,"""定向接收器，""大个子看起来很自豪。

""对，但是，""小个子打断道，""我得提醒你，那东西老是会发生偏离，每当我们过去检查信标的时候，有一半的时间得花在重置那个东西的校准原点上。干扰可能来自任何地方，干扰源也可能是任何东西，脉冲星之类。""","gaFCLaicaille_barEvent6:""我记得你们说过干扰源不会是天然的东西。""",
gaFCAskAroundLaicailleBar6,DialogOptionSelected,$option == gaFCLaicaille_barEvent6,$global.gaFC_ghostStory = true,"""呃，确实，""小个子结结巴巴地说，""我只是随便举个例子而已。""说到这，他们看了一眼他们的数据板，""不论如何，我们得回去上班了，干杯!""

技术人员喝完酒，向你道别后就出发了。他们将工作和酗酒混合的行为固然让人放不下心，但{Groombridge}栖息地发生的怪事如今更值得在意一些。如果有人真的在发送加密讯息...",backToBar:返回酒吧,
,,,,,,
# gaFC ask around the bar on Kapteyn,,,,,,
gaFCAskAroundKapteynBarStart,AddBarEvents,"$global.gaFC_searchIsirah
$market.id == station_kapteyn
!$askedBarCoureuse","AddBarEvent gaFCKapteyn_barEvent ""四处打听{Scylla}Coureuse}相关的信息"" ""这不过是瞎摸，但你依然可以试着问问这里有没有人知道关于{Scylla}Coureuse}的事""",,,
