id,trigger,conditions,script,text,options,notes
ssatOfferTextContact,DialogOptionSelected,$option == ssat_start,"$missionId = ssat
SetTextHighlights $ssat_reward","""任务内容:}进入{$ssat_systemName}星系{$ssat_marketName}行星的标准轨道。确保不被发现的情况下部署间谍卫星。再重复一遍，这个阶段确保没有巡逻队在追踪你。一旦部署完成，间谍卫星可以隐形，其他人不太可能检测到它。""

""这是一项非常简单的任务。任务完成之后你将会收到{$ssat_reward}作为任务奖励。当然我们不能冒险用悬挂着我们旗帜的舰船来执行这项任务——这也是我们找你的原因。你接受这个任务吗"" ","contact_accept:接受
contact_decline:拒绝",
ssatOfferTextBarUW,DialogOptionSelected,"$option == ssat_startBar
$ssat_underworld","$missionId = ssat
SetTextHighlights $ssat_reward","尽管你看不出来这个{$manOrWoman}穿着哪个组织的工作服，但你留意到一些通过精致纹身掩盖的非自然伤疤，还有傲慢的姿态。很明显，{$heOrShe}与某些犯罪团伙有些关系。

{$HeOrShe}将一些烟灰弹到桌子上，随后{$HeOrShe}用同一只手给你弄出一个坐的地方，手中的烟在空气里划出一道弧线。

{""$ssat_systemName}星系，{$ssat_marketName}星，我需要一只可以观察星球表面的{眼睛}""$heOrShe}抽完拉了最后一点烟，""有人告诉我你做事干净利落，不会问东问西。""$heOrShe}又掏出一只烟。烟雾缭绕中{$heOrShe}说到，""我可不能在轨道那块儿被抓，之前和他们的条子有点过节，所以留了底。""$heOrShe}笑了笑，牙齿闪闪发光。

""放心，我会提供卫星的，确保不被条子跟踪的情况下把卫星部署到轨道上。跟抢路德朝圣者一样，特别容易，不是吗?} 一笔就能赚{$ssat_reward}星币。搞不?""
","contact_acceptBar:搞起
contact_declineBarNoContinue:不了",
ssatOfferTextContactUW,DialogOptionSelected,"$option == ssat_start
$ssat_underworld","$missionId = ssat
SetTextHighlights $ssat_reward","""就像刚才说的，我需要在{$ssat_systemName}星系的{$ssat_marketName}星上放个眼线。一般我宁可自己去做，但在那种位置很麻烦，就算在轨道也会被抓，因为我有案底。""

{personName}露出了捕食者一样自豪的微笑。至于案底是什么，最好别问。

""我会提供间谍卫星的，确保不被条子跟踪的情况下把间谍卫星部署到轨道上。跟抢路德朝圣者一样，特别容易，不是吗?}一笔{$ssat_reward}星币。怎么样?""","contact_accept:接受
contact_decline:拒绝",
# spysat deployment - node interaction,,,,,,
ssatPrintHostilesText,OpenInteractionDialog,"$ssat_target score:1000
IsSeenByAnyFleet
Call $ssat_ref updateData",ShowDefaultVisual,周遭舰队最近或者正在跟踪您的{$shipOrFleet}，目前无法隐秘部署间谍卫星。,defaultLeave:离开,
ssatObjectInteraction,OpenInteractionDialog,"$ssat_target score:1000
Call $ssat_ref updateData",ShowDefaultVisual,"您的领航员通知您的{$shipOrFleet}已经抵达{$ssat_personName}提供的坐标位置。间谍卫星随时可以部署。

指令截面上，部署按钮轻轻闪烁着。","ssat_scan:部署间谍卫星
defaultLeave:离开",
ssatObjectScan,DialogOptionSelected,$option == ssat_scan,"$ssat_completed = true
Call $ssat_ref updateStage","按钮按下，舱门开启。

间谍卫星从它原先的包裹中被释放出来。你通过视频慢慢引导它，卫星内置的机动推进器带着卫星缓缓地向前，离开你的旗舰。

屏幕上的图像突然一阵闪烁

你的传感器副官警觉的抬起头，""{$PlayerSirOrMadam}，我无法追踪到卫星，它...消失了。""",defaultLeave:离开,
,,,,,,
# Combat Extraction mission,,,,,,
extrBlurb1,extr_blurb,$extr_variation == COLONY,,"""指挥部给我分配了一个有些非典型的撤离任务。由于...嗯，公共政治影响，这种任务最好由你们这样的混合能力地独立单位来执行。""",,
extrOfferOption1,extr_option,$extr_variation == COLONY,,,extr_start:询问涉及主要派系的“非典型撤离”任务,
extrBlurb2,extr_blurb,$extr_variation == PIRATE_BASE,,"""指挥部分配给我了一个非常规的撤离任务;}一个有与非联盟武装分子互动经验的混合能力单位最适合这种情况。""",,
extrOfferOption2,extr_option,$extr_variation == PIRATE_BASE,,,extr_start:询问涉及海盗的“非常规撤离”任务,
extrBlurb3,extr_blurb,$extr_variation == LUDDIC_PATH_BASE,,"""指挥部给了我一个高度敏感的任务。由于...宗教因素，你这种独立的混合能力部队最适合执行它。""",,
extrOfferOption3,extr_option,$extr_variation == LUDDIC_PATH_BASE,,,extr_start:询问涉及左径的“非常规撤离”任务,
extrBlurbBar1,extr_blurbBar,$extr_variation == COLONY,,"一个紧张的学员，拿着酒接近你，""呃，长官。我...呃，我想说，那边的{$extr_manOrWoman}想要和您说句话。＂学员往酒吧阴暗角落瞥了一眼。",,
extrOfferOptionBar1,extr_optionBar,$extr_variation == COLONY,,,extr_startBar:与学员介绍的{$extr_manOrWoman}交谈,
extrBlurbBar2,extr_blurbBar,$extr_variation == PIRATE_BASE,,"一个紧张的学员，拿着酒接近你，""呃，长官。我...呃，我想说，那边的{$extr_manOrWoman}想要和您说句话。＂学员往酒吧阴暗角落瞥了一眼。",,
extrOfferOptionBar2,extr_optionBar,$extr_variation == PIRATE_BASE,,,extr_startBar:与学员介绍的{$extr_manOrWoman}交谈,
extrBlurbBar3,extr_blurbBar,$extr_variation == LUDDIC_PATH_BASE,,"一个紧张的学员，拿着酒接近你，""呃，长官。我...呃，我想说，那边的{$extr_manOrWoman}想要和您说句话。＂学员往酒吧阴暗角落瞥了一眼。",,
extrOfferOptionBar3,extr_optionBar,$extr_variation == LUDDIC_PATH_BASE,,,extr_startBar:与学员介绍的{$extr_manOrWoman}交谈,
extrOfferTextBar1,DialogOptionSelected,"$option == extr_startBar
$extr_variation == COLONY","$missionId = extr
Highlight $extr_reward $extr_marines","{$manOrWoman}坐在黑暗中。{$HeOrShe}打扮成普通技术人员，但和{$heOrShe}说话时好像已经掌握着指挥权。

""{$playerName}舰长，""{$heorshe}说。＂我的上级知道你独特的才能可以为我们势力服务。""桌子上并没有酒，{$heorshe}也并没有邀请你坐下。""我们需要从{$extr_marketOnAt}$extr_marketName}星球殖民地撤离一名特工。出于...政治因素考虑，我们自己的特遣队无法做到这一点。我们将会提供{$extr_reward}星币作为报酬。""

""你的对手可能预料到你的到来。这里是关于他们防御的情报，""$manOrWoman}把一个数据信息板放在桌上供你检查。

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_acceptBar:接受
contact_declineBarNoContinue:拒绝",
extrOfferTextContact1,DialogOptionSelected,"$option == extr_start
$extr_variation == COLONY","$missionId = extr
Highlight $extr_reward $extr_marines","""{$playerName}舰长，""$heorshe}说。""如我所说，我们需要从{$extr_marketOnAt}$extr_marketName}星球殖民地撤离一名特工。指挥中心已经授权为这次成功的任务支付{$extr_reward}星币。""

""你的对手可能预料到你的到来。我建议你保持低调，我们确实掌握了关于它们的防御能力的相当情报，""$personName}说到这里，指尖连点几下，将一份非常详细的情报报告传了过来，供你参考。

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_accept:接受
contact_decline:拒绝",
extrOfferTextBar2,DialogOptionSelected,"$option == extr_startBar
$extr_variation == PIRATE_BASE","$missionId = extr
Highlight $extr_reward $extr_marines","{$manOrWoman}坐在黑暗中桌子旁，并没有点酒。{$HeOrShe}打扮成普通技术人员，但和{$heOrShe}说话时好像已经掌握着指挥权。

""{$playerName}舰长，""$heorshe}说。""我方的一名高级特工渗透了在{$extr_marketOnAt}$extr_marketName}的一名海盗军阀。他已经被发现并且被监禁了。当前的任务目标是以任何可行手段将其撤离{$extr_marketName}，但如果我们动用己方被标记的海军将会造成政治上的...不便。对此，我们提供{$extr_reward}星币，作为我方特工安全返回的奖励。""

""海盗可能预料到你的到来。但我们有他们防线的情报，""$manOrWoman}把一个数据信息板放在桌上供你检查。

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_acceptBar:接受
contact_declineBarNoContinue:拒绝",
extrOfferTextContact2,DialogOptionSelected,"$option == extr_start
$extr_variation == PIRATE_BASE","$missionId = extr
Highlight $extr_reward $extr_marines","""我方的一名高级特工渗透了在{$extr_marketOnAt}$extr_marketName}的一名海盗军阀。他已经被发现并且被监禁了。当前的任务目标是以任何可行手段将其撤离{$extr_marketName}，我相信你最适合执行这个任务。""{$heorshe}叹气到。""如果我们动用己方被标记的海军将会造成政治上的...不便。对此我们你找到你。我们提供{$extr_reward}星币，作为我方特工安全返回的奖励。""

{$hisOrHer}在控制面板上轻触几下，你收到一个数据流传入，""这是海盗的防御布局。至少我们不会让你盲目地冲进去。""

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_accept:接受
contact_decline:拒绝",
extrOfferTextBar3,DialogOptionSelected,"$option == extr_startBar
$extr_variation == LUDDIC_PATH_BASE","$missionId = extr
Highlight $extr_reward $extr_marines","""{$playerName}舰长，""$heorshe}说。""我方的一名特工渗透了在{$extr_marketOnAt}$extr_marketName}的激进的卢德教派。他已经被发现并且被监禁了。当前的任务目标是以任何可行手段将其撤离{$extr_marketName}，但如果我们动用己方被标记的海军将会造成宗教文化上的...不便。对此，我们提供{$extr_reward}星币，作为我方特工安全返回的奖励。""

""左径可能预料到你的到来。但我们有他们防线的情报，""$manOrWoman}把一个数据信息板放在桌上供你检查。

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_acceptBar:接受
contact_declineBarNoContinue:拒绝",
extrOfferTextContact3,DialogOptionSelected,"$option == extr_start
$extr_variation == LUDDIC_PATH_BASE","$missionId = extr
Highlight $extr_reward $extr_marines","我方的一名特工渗透了在{$extr_marketOnAt}$extr_marketName}的激进的卢德教派。他已经被发现并且被监禁了。当前的任务目标是以任何可行手段将其撤离{$extr_marketName}，我相信你最适合执行这个任务。""{$heorshe}叹气到。""如果我们动用己方被标记的海军将会造成政治上的...不便。对此我们你找到你。我们提供{$extr_reward}星币，作为我方特工安全返回的奖励。""

{$hisOrHer}在控制面板上轻触几下，你收到一个数据流传入，""这是左径的防御布局。至少我们不会让你盲目地冲进去。""

你快速审了一遍内容并预计你需要大约{$extr_marines}陆战队员来执行这项任务。","contact_accept:接受
contact_decline:拒绝",
# interaction with target market,,,,,,
extrOpenMarket1,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == COLONY
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation"" $extr_danger 3000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrOpenMarket2,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == PIRATE_BASE
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation""$extr_danger 5000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrOpenMarket3,OpenInteractionDialog,"$market.extr_target score:1000
Call $market.extr_ref updateData
$extr_variation == LUDDIC_PATH_BASE
!$extr_addedRaidObjective","AddRaidObjective genericIcon ""Perform extraction operation"" $extr_danger 5000 extrRaidFinished
$extr_addedRaidObjective = true 0
FireBest OpenInteractionDialog",,,
extrRaidFinished1,extrRaidFinished,"$extr_variation == COLONY
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","当突击穿梭机停靠时，你感觉到重力板一阵颤抖。你向随行的陆战队员和军医点头表示赞同——他们向你回敬礼。获救特工还迷糊着，还没意识到是你救了他。

无所谓了。",,
extrRaidFinished2,extrRaidFinished,"$extr_variation == PIRATE_BASE
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","被撤出的特工浑身是血，但依然顽强的活着。两名警卫和一名医生护送他到了安全的地方。

敌人在公开通讯频道中发出恶毒且无能的诅咒誓言。你向通讯官点了点头，他随后终止了通讯频道通信。",,
extrRaidFinished3,extrRaidFinished,"$extr_variation == LUDDIC_PATH_BASE
Call $market.extr_ref updateData","$market.extr_needToReturn = true
Call $market.extr_ref updateStage","被撤出的特工已精疲力尽，但依然活着。他肯定需要好好洗个澡外加休息一下。两名警卫和一名医生护送他到了安全的地方。

敌人在公开通讯频道中发出恶毒且无能的诅咒誓言。你向通讯官点了点头，他随后终止了通讯频道通信。",,
extr_barIntercept,DialogOptionSelected,"$option == marketVisitBar
$market.extr_target score:1000
!$extr_skipBarIntercept
Call $market.extr_ref updateData",,"穿梭机接近了舰船的着陆区，飞行员监督着高度推进器传来的反馈信号。

你的通讯器响了。出现一个呼叫请求——一个来源未知的语音加密通话。","extr_pickUp:接听加密通话
extr_ignore:Ignore it and head to the bar",
